identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000751,"Mountain View Grammar School, 1902 Miss Whiting",1902-01-01,Unknown,"Teacher: Miss Lulu Whiting. Row 1: Hattie Pattberg, Edith Higgins, Isabel Morton. Row 2: Agnes Urban, Nell Garliepp, Gladys Beverly, Lizzie Berry, Julia Distel. Row 3: Miss Lulu Whiting, Roy Berry, John Sinz. Mountain View, California.",PHA S18,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000752,"Mountain View Grammar School, 1904",1904-01-01,Unknown,"8th grade, class of 1904. Top: Fred Sinz, Arthur Dunsford, Tom Wright, Richard Cutter, Alonzo Snyder, Effie Payne, Maribel Ingram, Frank Huff (teacher and principal). Middle row: Frank George, Jessie Lovejoy, Ada Swall, Ora Henderson, Lena Barnes, Mabel Beverley, Bessie Bates. Front row: Fred Wagner, Rose Derham, Blanche Paiassou, Anna Jagels, Henrietta Bar, Florence Everett, Jennie Butterfield. Mountain View, California.",PHA S18,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000753,"Mountain View Grammar School, 8th grade, 1906",1906-06-01,Unknown,"Alpha Stevens, 2nd row from bottom, middle girl. 8th grade. Mountain View, California.",PHA S18 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000754,"Mountain View Grammar School, 1909",1909-01-01,Unknown,"2nd grade. John Armstrong, Herbert Graham, Alex Clay, Fred Beuler, Miss Victorine Klein (teacher), Ella Butler, Ellen McKenzie, Jeannet Pritchett, Lucille Roberts, Frank Huff (principal), John Vojvoda, Maude Hausman, Ida Fuller, Lorraine Rippey, Kathleen Logue, Gladys Newnan, RiCardo Espinosa. Mountain View, California.",PHA S19 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000755,"Mountain View Grammar School, 1913 bench",1913-01-01,Unknown,"1st grade. Mountain View, California.",PHA S20 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000756,"Mountain View Grammar School, 4th grade, 1913",1913-01-01,Unknown,"4th grade. Mountain View, California.",PHA S20 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000757,"Mountain View Grammar School, 1st grade, 1913",1913-01-01,Unknown,"1st grade. Mountain View, California.",PHA S21 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000758,"Mountain View Grammar School, 3rd grade, 1913",1913-01-01,Unknown,"3rd grade. Mountain View, California.",PHA S22,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000759,"Mountain View Grammar School, 1913",1913-01-01,Unknown,"8th grade. Mountain View, California.",PHA S22,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000760,"Mountain View Grammar School, 1913 boys",1913-01-01,Unknown,"8th grade;Top: Elias Marcus, Erol Rundell, Russell Wright, Louie Hanson. Middle: William Adams, Maurice Nicols, Ivan Jurian. Front: Fillmore Rowles, Rinaldo Bianchi. Mountain View, California.",PHA S22 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000761,"Mountain View Grammar School, 8th grade, 1914",1914-01-01,Unknown,"8th grade. Principal Frank Huff, Teacher Ann Klemeyer. Top: Elias Marcus, Mary Machado, Estelle Morgan, Miss Klemeyer, Catherine McKean, Petra Axelson, Mary McGinty, Erol Rundell. Middle: Mr. Huff, Clara Sanguinetti, Ivan Jurian, William Adams, Russell Wright, Rinaldo Bianchi, Louie Hansen, Gertrude Joseph. Bottom: Fillmore Rowles, Lillian Darriman, Effie Williamson, Claribel Graham, Alma Gardner, Ada Booher, Eva Barnes, Maurice Nichols. Mountain View, California.",PHA S22 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000762,"Mountain View Grammar School, 7th grade, 1914",1914-01-01,Unknown,"7th grade. Mountain View, California.",PHA S22 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000763,"Mountain View Grammar School, 2nd grade, 1914",1914-01-01,Unknown,"2nd grade. Mountain View, California.",PHA S22 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000764,"Mountain View Grammar School, 1914",1914-01-01,Unknown,"8th grade. Top: Ada Booher, Effie Williamson, Gertrude Joseph, Miss Klemeyer, Petra Axelson, Eva Barnes, Claribel Graham. Bottom: Alma Gardner, Clara Sanguinetti, Lillian Darriman, Catherine McKean, Estelle Morgan, Mary Machado, Mary McGinty. Mountain View, California.",PHA S22 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000765,"Mountain View Grammar School, 8th grade, 1914",1914-01-01,Unknown,"Principal Frank Huff. 8th grade. Mountain View, California.",PHA S23,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000766,"Mountain View Grammar School, 1914 Prudence Cadwell",1914-01-01,Unknown,"Principal Frank Huff, Teacher Prudence Cadwell. Sylvia Wyman, Dorothy Wright, Bridget McKenzie, carlos O'dell, Frances Neuroth, Walter Porter, Paul Cameron, Edna Watts, Lewis Burt, Miss Cadwell, Frances McKean, Mr. Huff, Muriel McKean, Winona Sevens, Herbert Graham. Mountain View, California.",PHA S23,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000767,"Mountain View Grammar School, 1915",1915-01-01,"White, C.C.","Taken at old highway school. Jim Graham, Frank Holden, Mrs. Glenn Wilson, teacher Mary Eastwood, Principal Frank Huff. Mountain View, California.",PHA S23 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
